id,is_collaborative_post,tagged_users,likes_count,Reel_view_count,Reel_duration,commentsCount,Reel_play_count,type,timestamp,is_sponsored
3.18E+18,,,269,,,5,,Image,2023-09-02T07:45:00.000Z,FALSE
3.19E+18,,,1503,,,21,,Image,2023-09-15T08:09:12.000Z,FALSE
3.19E+18,,,7085,42693,80.266,61,82655,Reel,2023-09-14T07:19:57.000Z,FALSE
3.18E+18,,tagged_post,1166,8195,89.966,9,19397,Reel,2023-09-02T03:52:20.000Z,FALSE
3.20E+18,,,1973,10240,59.866,24,23868,Reel,2023-09-20T14:49:44.000Z,FALSE
3.19E+18,,,1225,15332,84.533,4,65683,Reel,2023-09-08T07:29:09.000Z,FALSE
3.19E+18,,,1923,,,19,,Image,2023-09-11T07:23:49.000Z,FALSE
3.18E+18,,,1448,11279,60,6,25761,Reel,2023-08-29T15:46:44.000Z,FALSE
3.17E+18,,,284,,,2,,Image,2023-08-08T21:59:52.000Z,FALSE
3.18E+18,,,2235,11092,57.933,19,26992,Reel,2023-08-26T11:05:45.000Z,FALSE
3.18E+18,,,4893,,,52,,Image,2023-08-23T03:17:13.000Z,FALSE
3.16E+18,,,929,,,1,,Image,2023-08-06T05:58:21.000Z,FALSE
3.16E+18,,,1189,,,9,,Image,2023-08-06T20:28:03.000Z,FALSE
3.18E+18,,,1465,6794,85.366,18,17097,Reel,2023-08-28T11:53:12.000Z,FALSE
3.18E+18,,tagged_post,4559,33834,65.166,13,64016,Reel,2023-08-24T16:17:38.000Z,FALSE
3.18E+18,,,1588,10522,54.4,15,24870,Reel,2023-08-25T15:10:37.000Z,FALSE
3.17E+18,,,2179,,,12,,Image,2023-08-13T18:42:31.000Z,FALSE
3.18E+18,,,1724,15198,53.1,7,29734,Reel,2023-08-28T13:08:46.000Z,FALSE
3.17E+18,collaborative_post,tagged_post,405,3986,24.1,5,14586,Reel,2023-08-19T12:29:05.000Z,FALSE
3.18E+18,,,1929,10444,66.266,15,23873,Reel,2023-08-24T07:40:12.000Z,FALSE
3.16E+18,,tagged_post,4384,,,25,,Image,2023-08-04T19:53:11.000Z,FALSE
3.16E+18,,,1340,,,4,,Image,2023-08-05T05:50:35.000Z,FALSE
3.16E+18,,,4592,53893,42,17,177537,Reel,2023-08-01T20:11:20.000Z,FALSE
3.15E+18,,,663,,,5,,Image,2023-07-18T13:04:51.000Z,FALSE
3.15E+18,,,3011,17771,86.733,26,44477,Reel,2023-07-12T11:05:47.000Z,FALSE
3.16E+18,,,3038,,,22,,carousel,2023-08-05T19:23:33.000Z,FALSE
3.16E+18,,,1943,,,12,,Image,2023-08-04T19:04:32.000Z,FALSE
3.16E+18,,,4053,,,83,,Image,2023-08-01T18:49:17.000Z,FALSE
3.15E+18,,tagged_post,6085,117426,59.2,13,378200,Reel,2023-07-24T13:10:46.000Z,FALSE
3.15E+18,,tagged_post,2757,,,7,,Image,2023-07-17T07:15:37.000Z,FALSE
3.14E+18,,,1973,10819,90.033,15,27206,Reel,2023-07-07T14:44:44.000Z,FALSE
3.14E+18,,,1119,,,51,,Image,2023-07-11T08:43:20.000Z,FALSE
3.14E+18,,,7470,,,154,,Image,2023-07-04T12:14:56.000Z,FALSE
3.14E+18,,,951,,,32,,Image,2023-07-08T07:02:23.000Z,FALSE
3.14E+18,,,3483,,,39,,Image,2023-07-08T08:53:59.000Z,FALSE
3.14E+18,,,2101,12032,79.566,5,31701,Reel,2023-07-02T16:07:28.000Z,FALSE
3.12E+18,,tagged_post,770,5328,59.3,4,15779,Reel,2023-06-14T06:12:34.000Z,FALSE
3.14E+18,,,9593,63569,76.366,31,116758,Reel,2023-07-10T16:06:24.000Z,FALSE
3.13E+18,,,6559,,,60,,Image,2023-06-18T14:32:20.000Z,FALSE
3.13E+18,,,1292,12107,15.8,19,21689,Reel,2023-06-21T14:29:13.000Z,FALSE
3.15E+18,,tagged_post,3647,,,14,,Image,2023-07-15T10:13:00.000Z,FALSE
3.14E+18,,tagged_post,1391,8818,75.333,10,22145,Reel,2023-07-01T13:18:04.000Z,FALSE
3.10E+18,,,1506,8510,59.933,8,20047,Reel,2023-05-11T08:08:37.000Z,FALSE
3.09E+18,,,596,,,6,,Image,2023-04-30T13:42:17.000Z,FALSE
3.10E+18,,,1035,,,10,,Image,2023-05-04T10:06:21.000Z,FALSE
3.09E+18,,,1654,,,4,,Image,2023-04-30T13:40:43.000Z,FALSE
3.13E+18,,,1263,8611,61.033,23,19121,Reel,2023-06-17T08:50:59.000Z,FALSE
3.10E+18,,,3224,20239,79.566,45,40310,Reel,2023-05-10T05:03:00.000Z,FALSE
3.10E+18,,,1799,,,15,,Image,2023-05-10T10:26:51.000Z,FALSE
3.10E+18,,,2970,66088,69.866,15,567250,Reel,2023-05-15T17:57:37.000Z,FALSE
3.12E+18,,tagged_post,1252,9107,60.1,7,21878,Reel,2023-06-13T17:31:00.000Z,FALSE
3.09E+18,,,1529,,,3,,Image,2023-04-30T13:41:26.000Z,FALSE
3.12E+18,,,708,,,13,,Image,2023-06-13T08:26:54.000Z,FALSE
3.12E+18,,,3387,57212,40.4,19,398358,Reel,2023-06-05T13:56:45.000Z,FALSE
3.09E+18,,,392,,,1,,Image,2023-04-30T13:35:25.000Z,FALSE
3.09E+18,,,1705,,,9,,Image,2023-04-30T13:33:18.000Z,FALSE
3.09E+18,,,343,,,0,,Image,2023-04-30T13:39:05.000Z,FALSE
3.09E+18,,,704,,,1,,Image,2023-04-30T13:38:07.000Z,FALSE
3.09E+18,,,372,,,1,,Image,2023-04-30T13:32:51.000Z,FALSE
3.09E+18,,,377,,,2,,Image,2023-04-30T13:38:37.000Z,FALSE
3.09E+18,,,433,,,1,,Image,2023-04-30T13:36:20.000Z,FALSE
3.09E+18,,,775,,,0,,Image,2023-04-30T13:34:53.000Z,FALSE
3.09E+18,,,725,,,3,,Image,2023-04-30T13:33:56.000Z,FALSE
3.09E+18,,,495,,,0,,Image,2023-04-30T13:28:16.000Z,FALSE
3.09E+18,,,1173,,,6,,Image,2023-04-30T13:39:39.000Z,FALSE
3.09E+18,,,432,,,1,,Image,2023-04-30T13:27:37.000Z,FALSE
3.07E+18,collaborative_post,tagged_post,14180,,,113,,carousel,2023-04-05T11:43:37.000Z,FALSE
3.09E+18,,,365,,,1,,Image,2023-04-30T13:27:12.000Z,FALSE
3.09E+18,,,4222,,,11,,Image,2023-04-30T13:32:19.000Z,FALSE
3.07E+18,collaborative_post,tagged_post,161,,,1,,Image,2023-04-02T06:11:26.000Z,FALSE
3.07E+18,,,1593,,,11,,Image,2023-04-01T13:35:59.000Z,FALSE
3.09E+18,,,494,,,2,,Image,2023-04-30T13:26:47.000Z,FALSE
3.09E+18,,,882,,,3,,Image,2023-04-30T13:26:12.000Z,FALSE
3.07E+18,,,1730,,,8,,Image,2023-04-03T17:24:35.000Z,FALSE
3.07E+18,,,3421,,,11,,carousel,2023-04-03T04:11:36.000Z,FALSE
3.07E+18,,,853,,,5,,carousel,2023-04-02T09:55:38.000Z,FALSE
3.09E+18,,,351,,,2,,Image,2023-04-30T13:34:18.000Z,FALSE
3.09E+18,,,422,,,0,,Image,2023-04-30T13:36:46.000Z,FALSE
3.15E+18,,,1021,9897,46.8,11,20972,Reel,2023-07-15T06:37:52.000Z,FALSE
3.09E+18,,,456,,,0,,Image,2023-04-30T13:35:52.000Z,FALSE
3.07E+18,collaborative_post,tagged_post,8295,,,25,,Image,2023-03-26T16:06:42.000Z,FALSE
3.06E+18,,tagged_post,1432,9872,65.466,9,24177,Reel,2023-03-22T09:11:15.000Z,FALSE
3.07E+18,,,6489,,,34,,Image,2023-03-25T16:14:05.000Z,FALSE
3.07E+18,,,2485,,,14,,Image,2023-03-30T04:40:19.000Z,FALSE
3.07E+18,,,2292,,,12,,Image,2023-03-28T04:51:16.000Z,FALSE
3.07E+18,,,1446,,,4,,Image,2023-03-31T02:45:05.000Z,FALSE
3.07E+18,,,2910,15116,53.3,23,39447,Reel,2023-03-24T12:04:36.000Z,FALSE
3.06E+18,,,1791,,,19,,Image,2023-03-22T04:19:21.000Z,FALSE
3.07E+18,collaborative_post,tagged_post,4755,,,14,,Image,2023-03-31T14:29:55.000Z,FALSE
3.06E+18,,,2532,11407,70.766,31,28472,Reel,2023-03-17T14:13:00.000Z,FALSE
3.07E+18,,,749,,,2,,Image,2023-03-31T15:37:39.000Z,FALSE
3.07E+18,,,6019,,,28,,Image,2023-03-29T05:50:50.000Z,FALSE
3.06E+18,,,1450,9446,71.533,39,26109,Reel,2023-03-14T12:30:00.000Z,FALSE
3.06E+18,,,2848,13291,65.166,21,35735,Reel,2023-03-10T13:54:54.000Z,FALSE
3.05E+18,collaborative_post,tagged_post,5836,25077,31.133,83,43847,Reel,2023-03-04T07:59:20.000Z,FALSE
3.05E+18,,,1491,8099,48.866,5,22291,Reel,2023-03-09T11:42:06.000Z,FALSE
3.06E+18,,,1952,9375,55.4,36,26113,Reel,2023-03-12T12:33:22.000Z,FALSE
3.06E+18,,,1018,6527,83.533,11,16845,Reel,2023-03-11T12:32:52.000Z,FALSE
3.06E+18,,,20358,116778,69.233,23,227112,Reel,2023-03-15T14:07:11.000Z,FALSE
3.05E+18,,,1997,9197,33.133,25,23715,Reel,2023-03-08T14:33:40.000Z,FALSE
3.05E+18,,,3434,17522,46.5,45,40776,Reel,2023-03-07T12:49:17.000Z,FALSE
3.05E+18,,,2036,10237,56.066,23,23494,Reel,2023-03-06T14:49:27.000Z,FALSE
